Sobic.001G270200	paper_6---	Related to grain mold resistance	https://link.springer.com/article/10.1007/s00122-020-03762-2	Theoretical and Applied Genetics, 134, 2021
Sobic.001G270301	paper_6---	Related to grain mold resistance	https://link.springer.com/article/10.1007/s00122-020-03762-2	Theoretical and Applied Genetics, 134, 2021	
Sobic.001G377200	paper_79.pdf---	Anthracnose resistance	https://acsess.onlinelibrary.wiley.com/doi/10.3835/plantgenome2017.11.0099	The Plant Genome, 11, 2018
Sobic.001G405500	paper_45---	Grain quality variation	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6538-8	BMC Genomics, 21, 2020	
Sobic.002G113600	paper_45---	Grain quality variation	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6538-8	BMC Genomics, 21, 2020
Sobic.002G113900	paper_21---	Resistance to Anthracnose, Downy Mildew, Grain Mold, Head Smut	https://www.mdpi.com/2076-0817/12/6/779	Pathogens, 12(6), 2023
Sobic.002G174600	paper_18---	Seed Morphology traits	https://www.mdpi.com/2223-7747/12/12/2344	Plants, 12(12), 2023	
Sobic.002G174700	paper_18---	Seed Morphology traits	https://www.mdpi.com/2223-7747/12/12/2344	Plants, 12(12), 2023
Sobic.002G174801	paper_18---	Seed Morphology traits	https://www.mdpi.com/2223-7747/12/12/2344	Plants, 12(12), 2023
Sobic.002G208200	paper_75.pdf---	Grain yield components	https://acsess.onlinelibrary.wiley.com/doi/10.3835/plantgenome2015.09.0091	The Plant Genome, 9, 2016
Sobic.002G253000	paper_51---	Plant architecture and bioenergy traits	https://www.mdpi.com/2073-4395/10/10/1602	Agronomy, 10(10), 2020
Sobic.003G033900	paper_45---	Grain quality variation	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-6538-8	BMC Genomics, 21, 2020
Sobic.003G052200	paper_61---	Genomic architecture of leaf senescence	https://link.springer.com/article/10.1007/s00122-023-04315-z#	Theoretical and Applied Genetics, 136, 2023
Sobic.003G197500	paper_81.pdf---	Grain carotenoids	https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20013	The Plant Genome, 13, 2020
Sobic.003G202000	paper_51---	Plant architecture and bioenergy traits	https://www.mdpi.com/2073-4395/10/10/1602	Agronomy, 10(10), 2020
