PI_number,log_dry_weight
PI144134,2.29397271645581
PI144134,1.7768643834195
PI144134,1.87492425382964
PI145619,2.17218266459609
PI145619,1.92551285263904
PI145626,1.98287787769276
PI145626,2.45161961547576
PI145626,2.05383263017853
PI145632,2.29655705091786
PI145632,2.01628655691303
PI145633,1.77276852588906
PI145633,1.98287787769276
PI145633,1.80793873004513
PI146890,1.94328630822746
PI146890,2.0182676202985
PI147224,2.07780864939938
PI147224,2.24964583345826
PI147224,1.84643043623962
PI152591,2.05911730309688
PI152591,2.47454213031711
PI152591,1.83636510482237
PI152651,1.41818255241118
PI152651,1.69931006409009
PI152651,1.94328630822746
PI152694,2.45269641705691
PI152694,2.19966719229821
PI152694,1.8983590110985
PI152727,2.38367400992011
PI152727,1.90396936502257
PI152727,1.92289473568304
PI152728,1.92551285263904
PI152728,1.935784684651
PI152730,1.89551807309378
PI152730,2.03181531962843
PI152733,2.13811778661782
PI152733,2.10017737402625
PI152733,2.11528439543389
PI152751,2.16334790542158
PI152751,2.41398365175577
PI152751,2.14897429472193
PI152771,2.04665368250994
PI152771,1.99154870807121
PI152771,2.26319353278819
PI152816,1.95542612609167
PI152816,1.92025592193559
PI152816,2.41758593348436
PI152828,2.13114867752692
PI152828,1.81888424180279
PI152828,1.84971921358798
PI152860,2.02219482089765
PI152860,2.39215835052975
PI152862,2.45483965524265
PI152862,2.18441143867687
PI152862,2.06431961411589
PI152923,2.42291749989537
PI152923,1.80793873004513
PI152923,2.00824259657926
PI152961,1.92551285263904
PI152961,2.22292692123097
PI152961,2.10932337630089
PI152963,1.99154870807121
PI152963,2.00824259657926
PI152965,1.87794516314113
PI152965,1.97845651238353
PI152965,2.17466452138722
PI152966,1.96943411988653
PI152966,2.18680433925143
PI152966,2.07113226283332
PI152967,2.07780864939938
PI152967,2.26414050704228
PI152967,2.21425609085252
PI152971,2.05736502505372
PI152971,2.36111543741802
PI152971,2.04846294547952
PI153877,2.36949599977758
PI153877,1.9872414457201
PI153877,2.02219482089765
PI154750,2.19736505765155
PI154750,2.41458673809994
PI154750,1.935784684651
PI154844,2.23345802176136
PI154844,2.14629308993999
PI154844,2.27254451400736
PI154846,2.06259450329605
PI154846,2.20872017291955
PI154944,1.91221196160183
PI154944,2.15295614949933
PI154944,2.07448714736096
PI154987,2.12403096221669
PI154987,2.19966719229821
PI154987,2.06774331798213
PI154988,1.92025592193559
PI154988,1.59810400450184
PI154988,1.78490834375327
PI155149,2.22928536492064
PI155149,2.05383263017853
PI155516,1.94574984856542
PI155516,2.40356087775585
PI155516,2.05560350011792
PI155760,1.98287787769276
PI155760,1.79276301675523
PI155760,1.82245441701877
PI155885,2.13255418781684
PI155885,2.04483455974798
PI156018,1.89551807309378
PI156018,1.76862178684024
PI156178,1.94574984856542
PI156178,1.8431089342012
PI156203,2.00824259657926
PI156203,1.98287787769276
PI156217,2.63742094770674
PI156217,1.96943411988653
PI156217,2.02414122991499
PI156268,2.34960366903484
PI156268,2.79815334704293
PI156326,1.87492425382964
PI156326,2.02800032723925
PI156330,1.94080445143633
PI156393,2.4834839560604
PI156393,2.06431961411589
PI156463,1.96943411988653
PI156463,2.02414122991499
PI156463,2.08109742674774
PI156487,2.1542729488428
PI156487,2.06086043082136
PI156487,2.61768583201242
PI156871,2.24964583345826
PI156871,1.82245441701877
PI156871,2.03931694320489
PI156890,1.89265274905693
PI156890,2.26696541699616
PI157030,2.48592587039331
PI157030,1.92551285263904
PI157030,1.9506230475325
PI157033,2.31573233111168
PI157033,2.06086043082136
PI157033,1.98287787769276
PI157035,1.93068827724985
PI157035,2.39408602595818
PI157035,2.06603585543218
PI157804,1.93830400378442
PI157804,1.67259115186281
PI157804,1.69413463947928
PI167093,1.96250359687828
PI167093,2.14629308993999
PI167093,1.88684724271532
PI170787,1.83636510482237
PI170787,1.8809389787307
PI170787,2.13114867752692
PI175919,1.95542612609167
PI175919,2.28343052871457
PI175919,1.79662211407949
PI176766,1.96250359687828
PI176766,1.9578019952011
PI179749,1.61173072104145
PI179749,1.77604922257315
PI179749,1.69413463947928
PI180348,1.935784684651
PI180348,1.82598681189396
PI180348,1.30251047599308
PI181080,1.75586323256034
PI181080,1.70942623827657
PI181080,1.56905889330891
PI181083,1.79662211407949
PI181083,1.67810876840589
PI181899,1.55353013059351
PI181899,1.56138480359547
PI181899,1.73345158268417
PI195754,1.81527546935018
PI195754,1.8294822176616
PI195754,2.02219482089765
PI196049,2.2436670192883
PI196049,2.29397271645581
PI196583,2.02991327345263
PI196583,1.96250359687828
PI196583,1.97845651238353
PI196586,1.91491487678023
PI196586,1.95542612609167
PI196586,1.83975404967356
PI196598,1.92289473568304
PI196598,1.79276301675523
PI196598,1.76862178684024
PI197542,1.44121293870305
PI197542,1.66698079793874
PI197542,1.59810400450184
PI19770,1.97397579811856
PI19770,1.96943411988653
PI213900,1.70440647149124
PI213900,1.7768643834195
PI213900,1.68353666362047
PI217691,1.80043710646867
PI217691,2.28432187290425
PI217691,1.7425975849588
PI218112,1.96713989641789
PI218112,1.76862178684024
PI218112,1.89551807309378
PI221548,1.90948698156565
PI221548,2.27162111590623
PI221651,1.90396936502257
PI221651,1.96482979584393
PI226096,1.85620112988889
PI226096,1.71437163540566
PI226096,1.68353666362047
PI22913,1.76862178684024
PI22913,2.04483455974798
PI22913,1.90948698156565
PI229841,2.17957355398653
PI229841,1.98287787769276
PI229841,1.92025592193559
PI250583,1.94819534082677
PI250583,2.0355872038364
PI250583,1.935784684651
PI251672,1.99580109934459
PI251672,2.02800032723925
PI251672,2.01027183201196
PI253986,1.70942623827657
PI253986,1.66127453589717
PI253986,1.83636510482237
PI255239,2.27893775294391
PI255239,2.12403096221669
PI255744,2.02219482089765
PI255744,1.84971921358798
PI255744,2.37767130309975
PI257599,1.99154870807121
PI257599,2.38630761885266
PI257599,2.1211408298709
PI257600,2.22717931250435
PI257600,2.22078023730095
PI257600,2.09550865175818
PI266927,2.03931694320489
PI266927,1.79276301675523
PI267573,2.08272974394022
PI267573,2.17218266459609
PI273465,2.07780864939938
PI273465,2.12546669862657
PI273969,1.92551285263904
PI273969,2.55113723001895
PI273969,2.10325396908326
PI276837,2.19388181003804
PI276837,2.08435411795192
PI276837,2.22823399963987
PI291246,2.09393778673831
PI291246,2
PI291246,2.31895755620841
PI297130,2.06944209111763
PI297155,1.65546902955556
PI297155,1.78490834375327
PI297171,1.98067451523289
PI300118,1.62482291672913
