PI number,Disease,
PI505735,6,0.778151250383644
PI505735,3,0.477121254719662
PI197542,9,0.954242509439325
PI197542,9,0.954242509439325
PI593916,8,0.903089986991944
PI593916,7,0.845098040014257
PI196586,9,0.954242509439325
PI196586,8,0.903089986991944
PI619838,6,0.778151250383644
PI619838,10,1
PI330167,4,0.602059991327962
PI330167,3,0.477121254719662
PI655983,9,0.954242509439325
PI655983,11,1.04139268515823
PI563009,7,0.845098040014257
PI563009,7,0.845098040014257
PI329665,7,0.845098040014257
PI329665,8,0.903089986991944
PI585461,6,0.778151250383644
PI585461,5,0.698970004336019
PI569460,4,0.602059991327962
PI569460,3,0.477121254719662
PI562971,5,0.698970004336019
PI562971,8,0.903089986991944
PI255744,1,0
PI255744,2,0.301029995663981
PI329605,6,0.778151250383644
PI329605,5,0.698970004336019
PI569443,3,0.477121254719662
PI569443,5,0.698970004336019
PI569097,2,0.301029995663981
PI569097,8,0.903089986991944
PI167093,4,0.602059991327962
PI167093,5,0.698970004336019
PI563196,4,0.602059991327962
PI563196,2,0.301029995663981
PI154844,4,0.602059991327962
PI154844,9,0.954242509439325
PI329351,11,1.04139268515823
PI329351,4,0.602059991327962
PI563348,2,0.301029995663981
PI563348,4,0.602059991327962
PI570073,4,0.602059991327962
PI570073,4,0.602059991327962
PI155149,8,0.903089986991944
PI155149,6,0.778151250383644
PI92270,9,0.954242509439325
PI92270,9,0.954242509439325
PI329301,9,0.954242509439325
PI329301,5,0.698970004336019
PI562985,8,0.903089986991944
PI562985,6,0.778151250383644
PI196049,5,0.698970004336019
PI196049,3,0.477121254719662
PI535792,8,0.903089986991944
PI535792,8,0.903089986991944
PI534165,6,0.778151250383644
PI534165,3,0.477121254719662
PI505735,3,0.477121254719662
PI505735,1,0
PI152860,5,0.698970004336019
PI152860,3,0.477121254719662
PI569421,2,0.301029995663981
PI569421,3,0.477121254719662
PI570076,3,0.477121254719662
PI570076,5,0.698970004336019
PI152727,5,0.698970004336019
PI152727,4,0.602059991327962
PI156203,2,0.301029995663981
PI156203,1,0
PI156487,5,0.698970004336019
PI156487,2,0.301029995663981
PI641817,9,0.954242509439325
PI641817,9,0.954242509439325
PI563002,2,0.301029995663981
PI563002,2,0.301029995663981
PI569447,2,0.301029995663981
PI569447,5,0.698970004336019
PI35038,9,0.954242509439325
PI35038,8,0.903089986991944
PI562730,5,0.698970004336019
PI562730,5,0.698970004336019
PI569423,4,0.602059991327962
PI569423,1,0
PI329570,6,0.778151250383644
PI329570,6,0.778151250383644
PI156393,5,0.698970004336019
PI156393,3,0.477121254719662
PI329501,8,0.903089986991944
PI564163,9,0.954242509439325
PI653616,4,0.602059991327962
PI570393,3,0.477121254719662
PI535793,1,0
PI156018,2,0.301029995663981
PI297155,6,0.778151250383644
PI643016,6,0.778151250383644
PI329465,3,0.477121254719662
PI656015,9,0.954242509439325
PI329617,4,0.602059991327962
PI570109,4,0.602059991327962
PI330169,4,0.602059991327962
PI329510,6,0.778151250383644
PI563329,3,0.477121254719662
PI329584,11,1.04139268515823
PI563332,3,0.477121254719662
PI52606,14,1.14612803567824
PI329333,6,0.778151250383644
PI535785,7,0.845098040014257
PI152694,4,0.602059991327962
PI329569,4,0.602059991327962
PI329841,6,0.778151250383644
PI521290,6,0.778151250383644
PI642998,9,0.954242509439325
PI562991,4,0.602059991327962
PI569422,5,0.698970004336019
PI330196,5,0.698970004336019
PI570031,7,0.845098040014257
PI329843,3,0.477121254719662
PI513898,3,0.477121254719662
PI533998,9,0.954242509439325
PI569452,5,0.698970004336019
PI542718,9,0.954242509439325
PI562981,3,0.477121254719662
PI569453,2,0.301029995663981
PI452692,3,0.477121254719662
PI329440,1,0
PI329673,4,0.602059991327962
PI562994,2,0.301029995663981
PI569427,2,0.301029995663981
PI569886,3,0.477121254719662
PI152728,4,0.602059991327962
PI569447,4,0.602059991327962
PI35038,9,0.954242509439325
PI152727,4,0.602059991327962
PI569443,3,0.477121254719662
PI513898,4,0.602059991327962
PI154844,4,0.602059991327962
PI152694,4,0.602059991327962
PI569886,6,0.778151250383644
PI585461,4,0.602059991327962
PI329510,4,0.602059991327962
PI156203,3,0.477121254719662
PI156487,2,0.301029995663981
PI533998,9,0.954242509439325
PI569422,4,0.602059991327962
PI619838,3,0.477121254719662
PI641817,9,0.954242509439325
PI563009,5,0.698970004336019
PI570073,4,0.602059991327962
PI563332,7,0.845098040014257
PI452692,3,0.477121254719662
PI329301,6,0.778151250383644
PI564163,8,0.903089986991944
PI329617,6,0.778151250383644
PI52606,9,0.954242509439325
PI562730,6,0.778151250383644
PI569097,8,0.903089986991944
PI329501,9,0.954242509439325
PI330169,3,0.477121254719662
PI329584,4,0.602059991327962
PI643016,5,0.698970004336019
PI569460,3,0.477121254719662
PI570393,3,0.477121254719662
PI156018,2,0.301029995663981
PI535793,4,0.602059991327962
PI542718,9,0.954242509439325
PI542718,9,0.954242509439325
PI521290,1,0
PI152728,3,0.477121254719662
PI255744,2,0.301029995663981
PI329440,3,0.477121254719662
PI329665,6,0.778151250383644
PI569453,2,0.301029995663981
PI653616,3,0.477121254719662
PI156393,2,0.301029995663981
PI167093,5,0.698970004336019
PI329605,6,0.778151250383644
PI562985,4,0.602059991327962
PI152860,6,0.778151250383644
PI593916,7,0.845098040014257
PI569452,5,0.698970004336019
PI656015,8,0.903089986991944
PI569421,5,0.698970004336019
PI329569,5,0.698970004336019
PI92270,9,0.954242509439325
PI196586,7,0.845098040014257
PI569423,4,0.602059991327962
PI563002,4,0.602059991327962
PI534165,6,0.778151250383644
PI570076,4,0.602059991327962
PI642998,9,0.954242509439325
PI570109,4,0.602059991327962
PI329570,5,0.698970004336019
PI329673,6,0.778151250383644
PI196049,6,0.778151250383644
PI329465,3,0.477121254719662
PI330196,4,0.602059991327962
PI562991,7,0.845098040014257
PI155149,3,0.477121254719662
PI329843,3,0.477121254719662
PI535785,7,0.845098040014257
PI197542,6,0.778151250383644
PI562994,4,0.602059991327962
PI329351,3,0.477121254719662
PI569427,6,0.778151250383644
PI563196,2,0.301029995663981
PI297155,9,0.954242509439325
PI562971,3,0.477121254719662
PI562981,4,0.602059991327962
PI329841,3,0.477121254719662
PI570031,6,0.778151250383644
PI330167,5,0.698970004336019
PI505735,1,0
PI563348,2,0.301029995663981
PI329333,5,0.698970004336019
PI505735,2,0.301029995663981
PI655983,9,0.954242509439325
PI563329,3,0.477121254719662
PI513898,3,0.477121254719662
PI563332,7,0.845098040014257
PI535793,6,0.778151250383644
PI329843,3,0.477121254719662
PI92270,9,0.954242509439325
PI329440,1,0
PI535792,9,0.954242509439325
PI562981,4,0.602059991327962
PI329501,2,0.301029995663981
PI156203,2,0.301029995663981
PI330169,2,0.301029995663981
PI569447,2,0.301029995663981
PI569453,2,0.301029995663981
PI156393,4,0.602059991327962
PI154844,4,0.602059991327962
PI52606,8,0.903089986991944
PI329510,3,0.477121254719662
PI330167,3,0.477121254719662
PI643016,3,0.477121254719662
PI152860,3,0.477121254719662
PI330196,9,0.954242509439325
PI642998,9,0.954242509439325
PI593916,8,0.903089986991944
PI156487,5,0.698970004336019
PI641817,8,0.903089986991944
PI585461,2,0.301029995663981
PI329673,5,0.698970004336019
PI563196,4,0.602059991327962
PI329569,4,0.602059991327962
PI563002,4,0.602059991327962
PI562730,7,0.845098040014257
PI569427,5,0.698970004336019
PI569452,5,0.698970004336019
PI569423,3,0.477121254719662
PI570109,4,0.602059991327962
PI35038,8,0.903089986991944
PI196586,7,0.845098040014257
PI255744,3,0.477121254719662
PI562991,6,0.778151250383644
PI570073,6,0.778151250383644
PI563348,4,0.602059991327962
PI452692,4,0.602059991327962
PI329665,5,0.698970004336019
PI653616,7,0.845098040014257
PI329333,6,0.778151250383644
PI569421,5,0.698970004336019
PI569443,6,0.778151250383644
PI329584,7,0.845098040014257
PI329301,5,0.698970004336019
PI562971,6,0.778151250383644
PI329570,5,0.698970004336019
PI505735,4,0.602059991327962
PI569422,4,0.602059991327962
PI569886,6,0.778151250383644
PI656015,8,0.903089986991944
PI562985,2,0.301029995663981
PI155149,4,0.602059991327962
PI167093,4,0.602059991327962
PI569097,5,0.698970004336019
PI570076,4,0.602059991327962
PI152694,4,0.602059991327962
PI521290,5,0.698970004336019
PI570031,4,0.602059991327962
PI329617,6,0.778151250383644
PI534165,5,0.698970004336019
PI534165,8,0.903089986991944
PI570393,5,0.698970004336019
PI655983,8,0.903089986991944
PI563329,9,0.954242509439325
PI196049,5,0.698970004336019
PI297155,8,0.903089986991944
PI156018,1,0
PI542718,9,0.954242509439325
PI329841,5,0.698970004336019
PI564163,9,0.954242509439325
PI329351,4,0.602059991327962
PI562994,3,0.477121254719662
PI152727,5,0.698970004336019
PI563009,4,0.602059991327962
PI329605,5,0.698970004336019
PI197542,9,0.954242509439325
PI505735,3,0.477121254719662
PI329465,4,0.602059991327962
PI535785,5,0.698970004336019
PI152728,5,0.698970004336019
