PI_number,Disease
PI505735,0.778151250383644
PI505735,0.477121254719662
PI197542,0.954242509439325
PI197542,0.954242509439325
PI593916,0.903089986991944
PI593916,0.845098040014257
PI196586,0.954242509439325
PI196586,0.903089986991944
PI619838,0.778151250383644
PI619838,1
PI330167,0.602059991327962
PI330167,0.477121254719662
PI655983,0.954242509439325
PI655983,1.04139268515823
PI563009,0.845098040014257
PI563009,0.845098040014257
PI329665,0.845098040014257
PI329665,0.903089986991944
PI585461,0.778151250383644
PI585461,0.698970004336019
PI569460,0.602059991327962
PI569460,0.477121254719662
PI562971,0.698970004336019
PI562971,0.903089986991944
PI255744,0
PI255744,0.301029995663981
PI329605,0.778151250383644
PI329605,0.698970004336019
PI569443,0.477121254719662
PI569443,0.698970004336019
PI569097,0.301029995663981
PI569097,0.903089986991944
PI167093,0.602059991327962
PI167093,0.698970004336019
PI563196,0.602059991327962
PI563196,0.301029995663981
PI154844,0.602059991327962
PI154844,0.954242509439325
PI329351,1.04139268515823
PI329351,0.602059991327962
PI563348,0.301029995663981
PI563348,0.602059991327962
PI570073,0.602059991327962
PI570073,0.602059991327962
PI155149,0.903089986991944
PI155149,0.778151250383644
PI92270,0.954242509439325
PI92270,0.954242509439325
PI329301,0.954242509439325
PI329301,0.698970004336019
PI562985,0.903089986991944
PI562985,0.778151250383644
PI196049,0.698970004336019
PI196049,0.477121254719662
PI535792,0.903089986991944
PI535792,0.903089986991944
PI534165,0.778151250383644
PI534165,0.477121254719662
PI505735,0.477121254719662
PI505735,0
PI152860,0.698970004336019
PI152860,0.477121254719662
PI569421,0.301029995663981
PI569421,0.477121254719662
PI570076,0.477121254719662
PI570076,0.698970004336019
PI152727,0.698970004336019
PI152727,0.602059991327962
PI156203,0.301029995663981
PI156203,0
PI156487,0.698970004336019
PI156487,0.301029995663981
PI641817,0.954242509439325
PI641817,0.954242509439325
PI563002,0.301029995663981
PI563002,0.301029995663981
PI569447,0.301029995663981
PI569447,0.698970004336019
PI35038,0.954242509439325
PI35038,0.903089986991944
PI562730,0.698970004336019
PI562730,0.698970004336019
PI569423,0.602059991327962
PI569423,0
PI329570,0.778151250383644
PI329570,0.778151250383644
PI156393,0.698970004336019
PI156393,0.477121254719662
PI329501,0.903089986991944
PI564163,0.954242509439325
PI653616,0.602059991327962
PI570393,0.477121254719662
PI535793,0
PI156018,0.301029995663981
PI297155,0.778151250383644
PI643016,0.778151250383644
PI329465,0.477121254719662
PI329617,0.602059991327962
PI570109,0.602059991327962
PI330169,0.602059991327962
PI329510,0.778151250383644
PI563329,0.477121254719662
PI329584,1.04139268515823
PI563332,0.477121254719662
PI52606,1.14612803567824
PI329333,0.778151250383644
PI535785,0.845098040014257
PI152694,0.602059991327962
PI329569,0.602059991327962
PI329841,0.778151250383644
PI521290,0.778151250383644
PI562991,0.602059991327962
PI569422,0.698970004336019
PI330196,0.698970004336019
PI570031,0.845098040014257
PI329843,0.477121254719662
PI513898,0.477121254719662
PI542718,0.954242509439325
PI562981,0.477121254719662
PI569453,0.301029995663981
PI452692,0.477121254719662
PI329440,0
PI329673,0.602059991327962
PI562994,0.301029995663981
PI569427,0.301029995663981
PI569886,0.477121254719662
PI152728,0.602059991327962
PI330196,0.602059991327962
PI329617,0.477121254719662
PI593916,0.903089986991944
PI330168,0.845098040014257
PI152694,0.698970004336019
PI561840,0.954242509439325
PI329519,0.698970004336019
PI570109,0.301029995663981
PI156203,0.301029995663981
PI585577,0.477121254719662
PI152728,0.602059991327962
PI452692,0.301029995663981
PI329584,0.477121254719662
PI92270,0.845098040014257
PI329301,0.477121254719662
PI570145,0.477121254719662
PI562732,0.477121254719662
PI569148,0.477121254719662
PI329843,0.602059991327962
PI569422,0.477121254719662
PI330185,0.477121254719662
PI251672,1
PI619838,0.477121254719662
PI329702,0.301029995663981
PI550604,0.778151250383644
PI297155,0.903089986991944
PI156268,0.477121254719662
PI569427,0.301029995663981
PI643016,0.602059991327962
PI154844,0.477121254719662
PI329394,0.477121254719662
PI563332,0.477121254719662
PI329569,0.477121254719662
PI300119,0.698970004336019
PI521290,0
PI154844,0.602059991327962
PI52606,0.845098040014257
PI152963,0.477121254719662
PI196049,0.602059991327962
PI569446,0.602059991327962
PI562970,0.477121254719662
PI329665,0.602059991327962
PI656015,0.845098040014257
PI563329,0.477121254719662
PI329841,0.477121254719662
PI330181,0.301029995663981
PI181083,0.698970004336019
PI533792,0.845098040014257
PI297155,0.778151250383644
PI455217,0.477121254719662
PI540518,0.845098040014257
PI329256,0.301029995663981
PI569097,0.954242509439325
PI329310,0.301029995663981
PI569443,0.477121254719662
PI329570,0.778151250383644
PI533998,0.845098040014257
PI329710,0.477121254719662
PI642998,0.903089986991944
PI156487,0.602059991327962
PI535794,0.778151250383644
PI156018,0.477121254719662
PI526905,0.845098040014257
PI569423,0.301029995663981
PI452544,0.602059991327962
PI330182,0.301029995663981
PI157804,0.903089986991944
PI562985,0.477121254719662
PI569452,0.477121254719662
PI576399,0.698970004336019
PI156393,0.698970004336019
PI181899,0.903089986991944
PI563330,0.602059991327962
PI329511,0.602059991327962
PI329403,0.602059991327962
