PI_number,Disease
PI569447,0.602059991327962
PI35038,0.954242509439325
PI152727,0.602059991327962
PI569443,0.477121254719662
PI513898,0.602059991327962
PI154844,0.602059991327962
PI152694,0.602059991327962
PI569886,0.778151250383644
PI585461,0.602059991327962
PI329510,0.602059991327962
PI156203,0.477121254719662
PI156487,0.301029995663981
PI533998,0.954242509439325
PI569422,0.602059991327962
PI619838,0.477121254719662
PI641817,0.954242509439325
PI563009,0.698970004336019
PI570073,0.602059991327962
PI563332,0.845098040014257
PI452692,0.477121254719662
PI329301,0.778151250383644
PI564163,0.903089986991944
PI329617,0.778151250383644
PI52606,0.954242509439325
PI562730,0.778151250383644
PI569097,0.903089986991944
PI329501,0.954242509439325
PI330169,0.477121254719662
PI329584,0.602059991327962
PI643016,0.698970004336019
PI569460,0.477121254719662
PI570393,0.477121254719662
PI156018,0.301029995663981
PI535793,0.602059991327962
PI542718,0.954242509439325
PI542718,0.954242509439325
PI521290,0
PI152728,0.477121254719662
PI255744,0.301029995663981
PI329440,0.477121254719662
PI329665,0.778151250383644
PI569453,0.301029995663981
PI653616,0.477121254719662
PI156393,0.301029995663981
PI167093,0.698970004336019
PI329605,0.778151250383644
PI562985,0.602059991327962
PI152860,0.778151250383644
PI593916,0.845098040014257
PI569452,0.698970004336019
PI656015,0.903089986991944
PI569421,0.698970004336019
PI329569,0.698970004336019
PI92270,0.954242509439325
PI196586,0.845098040014257
PI569423,0.602059991327962
PI563002,0.602059991327962
PI534165,0.778151250383644
PI570076,0.602059991327962
PI642998,0.954242509439325
PI570109,0.602059991327962
PI329570,0.698970004336019
PI329673,0.778151250383644
PI196049,0.778151250383644
PI329465,0.477121254719662
PI330196,0.602059991327962
PI562991,0.845098040014257
PI155149,0.477121254719662
PI329843,0.477121254719662
PI535785,0.845098040014257
PI197542,0.778151250383644
PI562994,0.602059991327962
PI329351,0.477121254719662
PI569427,0.778151250383644
PI563196,0.301029995663981
PI297155,0.954242509439325
PI562971,0.477121254719662
PI562981,0.602059991327962
PI329841,0.477121254719662
PI570031,0.778151250383644
PI330167,0.698970004336019
PI505735,0
PI563348,0.301029995663981
PI329333,0.698970004336019
PI505735,0.301029995663981
PI655983,0.954242509439325
PI563329,0.477121254719662
PI330168,0.698970004336019
PI642998,0.903089986991944
PI563329,0.698970004336019
PI330181,0.602059991327962
PI181899,0.698970004336019
PI329519,0.602059991327962
PI540518,0.954242509439325
PI521290,0.602059991327962
PI569427,0.301029995663981
PI329710,0.778151250383644
PI533998,0.954242509439325
PI329301,0.477121254719662
PI542718,0.301029995663981
PI329702,0.602059991327962
PI569422,0.602059991327962
PI329256,0.602059991327962
PI569148,0.698970004336019
PI561840,0.954242509439325
PI329665,0.477121254719662
PI563330,0.778151250383644
PI329841,0.602059991327962
PI156393,0.602059991327962
PI297155,0.903089986991944
PI297155,0.954242509439325
PI152963,0.602059991327962
PI570145,0.698970004336019
PI329617,0.477121254719662
PI156268,0.845098040014257
PI329843,0.602059991327962
PI452692,0.602059991327962
PI329569,0.301029995663981
PI569423,0.301029995663981
PI562970,0.602059991327962
PI452544,0.698970004336019
PI329403,0.477121254719662
PI156487,0.477121254719662
PI570109,0.698970004336019
PI196049,0.698970004336019
PI330196,0.301029995663981
PI181083,0.903089986991944
PI52606,1
PI593916,0.954242509439325
PI619838,0.602059991327962
PI156018,0.477121254719662
PI92270,0.845098040014257
PI329310,0.698970004336019
PI569443,0.602059991327962
PI152728,0.477121254719662
PI330185,0.477121254719662
PI656015,1.04139268515823
PI154844,0.778151250383644
PI455217,0.845098040014257
PI535794,0.778151250383644
PI157804,0.845098040014257
PI300119,0.602059991327962
PI562985,0.602059991327962
PI569452,0.778151250383644
PI152694,0.698970004336019
PI585577,0.602059991327962
PI569446,0.301029995663981
PI562732,0.602059991327962
PI563332,0.903089986991944
PI329511,0.698970004336019
PI569421,0.845098040014257
PI251672,0.778151250383644
PI550604,0.903089986991944
PI569097,0.602059991327962
PI576399,0.903089986991944
PI156203,0.301029995663981
PI643016,0.845098040014257
PI329584,0.602059991327962
PI154844,0.698970004336019
PI526905,0.903089986991944
PI329570,0.698970004336019
