PI_number,Disease
PI513898,0.477121254719662
PI563332,0.845098040014257
PI535793,0.778151250383644
PI329843,0.477121254719662
PI92270,0.954242509439325
PI329440,0
PI535792,0.954242509439325
PI562981,0.602059991327962
PI329501,0.301029995663981
PI156203,0.301029995663981
PI330169,0.301029995663981
PI569447,0.301029995663981
PI569453,0.301029995663981
PI156393,0.602059991327962
PI154844,0.602059991327962
PI52606,0.903089986991944
PI329510,0.477121254719662
PI330167,0.477121254719662
PI643016,0.477121254719662
PI152860,0.477121254719662
PI330196,0.954242509439325
PI593916,0.903089986991944
PI156487,0.698970004336019
PI641817,0.903089986991944
PI585461,0.301029995663981
PI329673,0.698970004336019
PI563196,0.602059991327962
PI329569,0.602059991327962
PI563002,0.602059991327962
PI562730,0.845098040014257
PI569427,0.698970004336019
PI569423,0.477121254719662
PI570109,0.602059991327962
PI35038,0.903089986991944
PI196586,0.845098040014257
PI255744,0.477121254719662
PI562991,0.778151250383644
PI570073,0.778151250383644
PI563348,0.602059991327962
PI452692,0.602059991327962
PI329665,0.698970004336019
PI653616,0.845098040014257
PI329333,0.778151250383644
PI569421,0.698970004336019
PI569443,0.778151250383644
PI329584,0.845098040014257
PI329301,0.698970004336019
PI562971,0.778151250383644
PI329570,0.698970004336019
PI505735,0.602059991327962
PI569422,0.602059991327962
PI569886,0.778151250383644
PI562985,0.301029995663981
PI155149,0.602059991327962
PI167093,0.602059991327962
PI569097,0.698970004336019
PI570076,0.602059991327962
PI152694,0.602059991327962
PI521290,0.698970004336019
PI570031,0.602059991327962
PI329617,0.778151250383644
PI534165,0.698970004336019
PI534165,0.903089986991944
PI570393,0.698970004336019
PI655983,0.903089986991944
PI563329,0.954242509439325
PI196049,0.698970004336019
PI297155,0.903089986991944
PI542718,0.954242509439325
PI329841,0.698970004336019
PI564163,0.954242509439325
PI329351,0.602059991327962
PI562994,0.477121254719662
PI152727,0.698970004336019
PI563009,0.602059991327962
PI329605,0.698970004336019
PI197542,0.954242509439325
PI505735,0.477121254719662
PI329465,0.602059991327962
PI535785,0.698970004336019
PI152728,0.698970004336019
PI329256,0.698970004336019
PI156203,0.602059991327962
PI643016,0.903089986991944
PI152963,0.602059991327962
PI569097,0.778151250383644
PI452544,0.903089986991944
PI329403,0.903089986991944
PI329570,0.698970004336019
PI533998,0.845098040014257
PI329843,0.602059991327962
PI181083,0.954242509439325
PI569443,0.477121254719662
PI152728,0.845098040014257
PI152694,0.845098040014257
PI297155,0.903089986991944
PI329310,0.698970004336019
PI570109,0.477121254719662
PI156487,0.477121254719662
PI297155,0.903089986991944
PI656015,0.903089986991944
PI330196,0.778151250383644
PI569421,0.845098040014257
PI642998,0.845098040014257
PI92270,1.04139268515823
PI300119,0.698970004336019
PI569148,1
PI329569,0.602059991327962
PI585577,0.845098040014257
PI156268,0.778151250383644
PI330168,1
PI181899,0.845098040014257
PI329301,0.903089986991944
PI330185,0.698970004336019
PI52606,0.778151250383644
PI157804,1
PI455217,0.845098040014257
PI576399,1.04139268515823
PI535794,1.11394335230684
PI251672,0.954242509439325
PI569452,0.778151250383644
PI569422,0.301029995663981
PI329519,0.778151250383644
PI521290,0.698970004336019
PI533792,0.845098040014257
PI593916,0.903089986991944
PI562985,0.698970004336019
PI330181,0.602059991327962
PI569446,0.301029995663981
PI526905,1.14612803567824
PI540518,1.07918124604762
PI569427,0.778151250383644
PI542718,0.477121254719662
PI563330,0.778151250383644
PI570145,0.778151250383644
PI329511,0.698970004336019
PI550604,1.14612803567824
PI619838,0.602059991327962
PI562970,0.903089986991944
PI561840,0.698970004336019
PI329710,0.301029995663981
PI329702,0.477121254719662
PI329665,0.778151250383644
PI569423,0.602059991327962
PI156393,0.698970004336019
PI154844,0.845098040014257
PI452692,0.602059991327962
PI329584,0.845098040014257
PI329617,0.602059991327962
PI154844,0.602059991327962
PI563332,0.602059991327962
PI196049,0.698970004336019
PI562732,0.477121254719662
PI563329,0.602059991327962
PI329841,0.602059991327962
