PI_number,Dry_weight
PI562970,1.94605906038512
PI562970,1.97474190450095
PI562970,1.88756104093001
PI181899,1.88592633980143
PI181899,1.60595115756487
PI181899,1.87407574522303
PI330182,1.7880268840958
PI330182,1.84547013298167
PI330182,1.77305469336426
PI655978,1.67108023273885
PI655978,1.79940947961513
PI655978,1.72615646617275
PI533792,1.82314805981069
PI533792,1.6126779183165
PI533792,1.80787313200333
PI563330,1.794697126892
PI563330,1.77619251474707
PI563330,1.90232930585832
PI329435,1.89520147477889
PI329435,1.94046667766353
PI329435,1.85302861471299
PI329519,1.9409644934928
PI329519,2.09373678456234
PI329519,1.6159500516564
PI330181,1.50324577146511
PI330181,1.77004155431967
PI330181,1.78703518202622
PI576399,1.65858371540706
PI576399,1.78376069574392
PI329256,2.55504605652502
PI593916,1.959756672991
PI181899,2.24561135989091
PI181899,2.30354162694889
PI330182,2.86561321655546
PI330182,2.75417244141516
PI330182,2.56203101899918
PI576401,2.36545054409757
PI576401,2.30869244220126
PI576401,2.32692953704351
PI455217,2.65603108730465
PI455217,2.80423487118463
PI455217,2.52473355918652
PI563332,2.21042554163109
PI563332,3.05186996306984
PI563332,2.76832725121577
PI52606,2.46597736828582
PI52606,2.06774020292624
PI52606,2.36849142941581
PI655978,2.24393053680428
PI655978,2.03354437609095
PI655978,2.35360852070864
PI155149,2.58446692019176
PI155149,2.75680340489133
PI155149,2.76777160787281
PI535792,2.21685178328438
PI535792,1.98186389099135
PI535792,2.21806261782637
PI329841,3.03202613694902
PI329841,3.00627345520278
PI329841,2.71975377261236
PI535793,2.09032860682342
PI535793,2.19382002601611
PI535793,2.34066219885561
PI181080,2.4301879703435
PI181080,2.42912217685085
PI181080,2.68785879272839
PI152963,2.90815246865333
PI152963,2.67805379061886
PI152963,2.87185886867787
PI641807,2.56601300798044
PI641807,2.18777445516399
PI641807,2.33177135629093
PI533902,2.26967635762987
PI533902,2.12836695393808
PI533902,2.53063505550536
PI656065,2.56875304534647
PI656065,2.72943209021323
PI656065,2.59193232855773
PI329519,2.89975486102104
PI329519,2.66003022303867
PI329519,2.64582493496874
PI452544,2.66109299629174
PI452544,2.76158206852554
PI452544,2.49699879774009
PI329843,2.98522881838539
PI329843,2.7254052044719
PI329843,3.01063911673663
PI197542,2.2487332298048
PI197542,2.32602846833701
PI197542,2.18089968676623
PI569148,2.32919441508845
PI569148,2.77734706148782
PI569148,2.32081072606763
PI330181,1.72875947516787
PI330181,1.87192303188237
PI330181,1.97215653585949
PI213900,2.58951397199444
PI213900,2.7644451471852
PI656015,2.26576091671761
PI656015,2.40454294977008
PI656015,2.59143193158809
PI92270,2.36591832217634
PI92270,1.73988865508454
PI92270,2.1993162742531
PI253986,2.26152455647267
PI226096,1.91518870517316
PI226096,2.47290265180366
PI226096,2.57439013618756
PI569097,2.89720908790688
PI569097,2.48340184429918
PI569097,2.53090373480276
PI527045,2.291590825658
PI527045,2.33437331879921
PI527045,2.30552333321126
PI329569,3.12339751690613
PI329569,2.90970576014488
PI329569,2.83249613915127
PI157804,2.09166695759568
PI157804,2.07554696139253
PI157804,2.21637705798817
PI534165,2.19476402411089
PI534165,1.97062577668829
PI534165,2.30124708863621
PI300119,2.4170064251188
PI300119,2.28200999934205
PI300119,2.52015588694486
PI181083,2.40226138245468
PI181083,2.12205196263325
PI181083,2.36675905512633
PI550604,2.27588696030123
PI550604,2.20183393047435
PI550604,1.8742498227784
PI329710,2.73341395689798
PI329710,2.89751712940053
PI329710,2.89550541875827
PI561840,2.08242630086077
PI561840,2.17834373897622
PI561840,2.22359976464969
PI452692,2.92356003684042
PI452692,2.99976976290637
PI452542,3.2900791521022
PI452542,3.08004896757885
PI452542,2.85314434617261
PI330185,3.21258974004943
PI330185,3.22494204426179
PI330185,2.89731362647664
PI251672,2.04929556833272
PI251672,2.38890010835424
PI251672,2.5594397768277
PI540518,2.21261369664506
PI540518,2.26899895854267
PI540518,2.32118402730231
PI533998,2.30345526034188
PI533998,2.14220169016351
PI533998,2.07180839183313
PI156268,2.87350660512973
PI156268,2.82664484505949
PI156268,2.65417654187796
PI564163,2.22683181065872
PI564163,2.45662410350706
PI564163,2.29567703401747
PI655981,2.0290589500845
PI655981,2.16752409242021
PI655981,2.31190213141949
PI337689,3.06167484727409
PI337689,2.90018135292317
PI337689,3.25575960675483
PI535794,2.16524432612531
PI535794,2.01669913806497
PI535794,2.08724886779566
PI297155,2.14563141529033
PI297155,2.02419823220687
PI297155,2.26597283086083
PI526905,3.00020841133659
PI526905,2.49433551236386
PI526905,2.4164074899431
PI52606,2.8517840772216
PI52606,3.05772314409754
PI52606,2.81473357368118
PI329301,2.72016757560302
PI329301,2.79317551370827
PI329301,2.71130940257286
PI562732,3.14461156466799
PI562732,2.81557774832427
PI329394,3.19323872485617
PI329394,3.22941048345734
PI329394,2.88556474787179
PI196049,3.07368536470246
PI196049,2.90423934514116
PI196049,2.98486471681686
PI569452,3.14264596202819
PI569452,3.07701160134686
PI569452,2.65908863704249
PI330168,3.20139712432045
PI330168,3.21386293038682
PI330168,2.80456193096242
PI570145,2.7719253789442
PI570145,2.76027920293023
PI570145,2.948227079265
PI329865,2.99480968970219
PI329865,3.27863701152262
PI329865,3.04345659418233
PI329310,3.38752151863091
PI329310,3.00283966784093
PI329310,3.22515156283233
PI563329,3.33285639344385
PI563329,3.23598774810909
PI329511,3.07655670740813
PI329511,3.01311120759659
PI329511,2.68533859790629
PI329300,2.98220789380903
PI329300,3.06322824471535
PI329300,2.9842887233878
PI154844,3.2000018654066
PI154844,3.22078777616588
PI154844,3.30184136794827
PI329403,2.95714257805071
PI329403,2.91968985953759
PI329403,3.13049458852347
PI562970,3.1388771660256
PI562970,3.09389774712385
PI562970,2.99910878250173
PI533792,2.23962476524614
PI533792,2.0135113334659
PI533792,2.1008528266573
PI563330,2.96422190482487
PI563330,3.23616427315686
PI563330,2.9639058261187
PI562985,2.36185999248929
PI562985,2.79347607079047
PI562985,2.89367855591114
PI452542,3.13515174082457
PI452542,3.07731702261527
PI452542,3.06460397748711
PI329435,2.22533513181854
PI329435,2.18912520692553
PI329435,2.08249813850578
PI329614,2.98185483460494
PI329614,2.90346982850717
PI329614,2.74852137516073
PI329570,3.11448754967397
PI329570,3.45264649925608
PI585577,2.9601281538895
PI585577,3.01968943016535
PI585577,3.20006488546068
PI330181,2.84814599341256
PI330181,2.77540654020375
PI330181,2.89027567071649
PI329702,2.67778027097138
PI329702,2.91779424301342
PI329702,2.85037050237164
PI576399,2.80827175638951
PI576399,3.06215311825136
PI576399,2.63955620985019
PI569446,1.95684049015923
PI569446,2.00052084093619
PI569446,2.02608362080099
PI569447,2.59526468336136
PI35038,2.3879056895125
PI152727,3.13421855808221
PI569443,3.09730938025063
PI513898,3.10113161659903
PI154844,3.05802723197091
PI152694,2.80606459918824
PI569886,3.05084744408226
PI585461,2.76591431227679
PI329510,3.00414934190006
PI156203,3.46910741882204
PI156487,2.80194538256794
PI533998,2.18814069878886
PI569422,3.20962223451155
PI619838,2.98329694631833
PI641817,2.43985353476645
PI563009,2.75206382080335
PI570073,2.86746159508526
PI563332,2.83723479878442
PI452692,3.08962961782171
PI329301,3.13032733445502
PI564163,2.33839672419626
PI329617,2.54304936063953
PI52606,2.2816241514402
PI562730,2.39250349968175
PI569097,2.58716073470619
PI329501,2.46175356612546
PI330169,2.77669392147816
PI329584,3.02005866295228
PI643016,3.33093096570409
PI569460,2.58056006063942
PI570393,3.24781375039621
PI156018,3.17929033153913
PI542718,2.00164719134604
PI542718,2.29014595464781
PI521290,2.51534389308838
PI152728,2.87942850083644
PI255744,2.95289894591052
PI329440,2.95263263975737
PI329665,3.2879293131752
PI569453,2.87390159786446
PI653616,2.95184244469143
PI156393,2.89075066681952
PI167093,3.0360577100716
PI329605,2.96980716027817
PI562985,3.02673749423875
PI152860,3.37700556567004
PI593916,2.56788469078371
PI569452,2.94484772086324
PI656015,2.47623729027107
PI569421,2.6542343155714
PI329569,3.23640120826566
PI92270,2.29072448001922
PI196586,2.62864432228461
