PI_number,Dry_weight
PI563330,1.78646747674028
PI563330,1.72296280894249
PI563330,1.75716819221427
PI576399,1.73215241806521
PI576399,1.77180787899911
PI576399,1.8077379220141
PI330182,1.66548718078281
PI330182,1.8710472613055
PI330182,1.58387859849863
PI655978,1.7419390777292
PI655978,1.73191094211687
PI533792,1.838912027406
PI533792,1.8136476953469
PI533792,1.59206567043225
PI329435,1.81571053978896
PI329435,1.79176080401291
PI329435,1.79865064544527
PI330181,1.54617236831694
PI330181,1.72965066833592
PI330181,1.80665472399186
PI329519,1.63407402548747
PI329519,1.8248414717537
PI329519,1.83960372947084
PI181899,1.8493579816613
PI181899,1.80277372529198
PI181899,1.57829530512083
PI562970,1.77342072329061
PI562970,2.02378727978985
PI562970,1.83777776955373
PI527045,2.28461118236977
PI527045,2.40773072802634
PI527045,2.30813737863804
PI550604,1.29556709996248
PI550604,2.13132989404281
PI550604,2.28060113153691
PI535792,2.12388429346001
PI535792,2.25219745536488
PI569452,2.85343049682467
PI569452,2.48964916287183
PI569452,2.84704798109853
PI253986,2.1845494813207
PI253986,2.38987455839099
PI253986,2.26993302596781
PI563330,2.91155708245991
PI563330,2.66687350719772
PI563330,2.91282231809287
PI540518,1.10720996964787
PI540518,2.19598263068836
PI540518,2.16342974330147
PI155149,2.79793198078729
PI155149,2.54911366184384
PI155149,2.50742406009485
PI455217,2.20642106523799
PI455217,2.4205827933311
PI455217,2.47928731647617
PI656065,2.60930620671476
PI656065,2.38270128295491
PI656065,2.45111068189747
PI329710,2.96608069246838
PI329710,2.89005755734057
PI329511,2.52492811523166
PI329511,2.73110505121592
PI329511,2.69435068922192
PI226096,2.75437891875261
PI226096,2.529353344972
PI226096,2.93655395306935
PI641807,2.64892568915721
PI641807,2.69239741658204
PI641807,2.76041494352301
PI329841,2.96665319467766
PI329841,2.88044771653725
PI329841,2.85895204534362
PI330182,2.64990899416434
PI330182,2.54085481595225
PI330182,3.01701245925445
PI213900,2.61133024765175
PI213900,2.49096925059149
PI213900,2.46014581749175
PI535794,2.4555300473427
PI535794,2.5231479244222
PI535794,2.44406041774078
PI593916,1.53249958609466
PI181080,2.42701520590799
PI181080,2.72030817885113
PI181080,2.64803783042949
PI569097,2.89712103590559
PI569097,2.88382603846575
PI569097,2.69171787294949
PI181083,1.44263652578223
PI181083,2.52858249904385
PI330181,2.81426091744422
PI330181,2.85722390923683
PI330181,2.57425125453993
PI92270,2.20425567848015
PI92270,2.14952701375435
PI92270,2.00655160908665
PI154844,2.50370898989171
PI154844,2.77482341839226
PI154844,2.40440605092127
PI329394,2.727435517036
PI329394,2.3708090565455
PI563332,2.90907975575678
PI563332,2.34997649942447
PI563332,2.94911177388144
PI569148,2.79784206402916
PI569148,2.75013796809047
PI569148,2.45074164535191
PI300119,2.182243411919
PI300119,2.18480495701924
PI300119,2.50847584964823
PI329569,3.15815736015216
PI329569,3.07822837273594
PI181899,1.94571471405986
PI181899,1.98708502962412
PI181899,2.31636879040899
PI52606,2.00182021703833
PI52606,2.31904356639911
PI52606,2.1578192844173
PI297155,2.41504015736744
PI297155,2.4164407857979
PI297155,2.28492678699029
PI533902,2.37403309554569
PI533902,2.39294304234006
PI533902,2.30259064830655
PI329310,3.06314188184196
PI329310,3.39979655234927
PI329310,3.38767985242912
PI526905,2.32432361870059
PI526905,2.31956406609216
PI526905,2.32310765518552
PI534165,1.92132224358382
PI534165,1.89845091919837
PI534165,2.20766129119678
PI576401,2.29278753519833
PI576401,2.37154809268385
PI576401,2.50192151459622
PI561840,2.46530847958731
PI561840,2.53737828283021
PI561840,2.23406149076639
PI656015,2.59495577326341
PI656015,2.67396040055277
PI656015,2.55598873032183
PI329403,3.23129624583633
PI329403,3.53676922623277
PI329403,3.02111070533833
PI157804,2.24472232277
PI157804,2.0955528960194
PI157804,2.5895921940578
PI655981,2.04500986090582
PI655981,2.18596689276784
PI655981,2.25478968739721
PI564163,2.23989981717697
PI564163,2.57063632650346
PI564163,2.39469677789188
PI535793,2.02885580939044
PI535793,2.2423177637152
PI535793,2.21664085832545
PI542718,1.88451215919039
PI542718,1.84335737843796
PI542718,1.76410137647623
PI197542,2.07867427336047
PI197542,2.07968762761134
PI197542,1.97625824925705
PI329843,3.21260304943237
PI329843,2.47745408625333
PI329843,3.33767685320219
PI251672,2.87204549895565
PI251672,3.23597009165736
PI251672,2.84130940480469
PI562732,3.0974030915239
PI562732,3.15049547786061
PI562732,3.46807396385361
PI152963,2.95718571631565
PI152963,3.17016486866568
PI152963,3.17379501973486
PI196049,3.25640020538034
PI196049,3.42486041119411
PI196049,3.13577486850059
PI570145,2.82740804761587
PI570145,3.01036356933654
PI570145,2.72151384208402
PI329865,3.18638556078261
PI329865,3.13701844805055
PI329865,3.14435622736818
PI330185,3.36848213402757
PI330185,2.38068147273783
PI330185,2.56168561768995
PI329300,2.63518204865627
PI329300,3.03597376641812
PI329300,2.96538987021512
PI329256,2.57760667736254
PI329256,2.88307062004945
PI329256,2.76437043756676
PI330168,3.29199896383807
PI330168,3.26631167855736
PI452692,3.21185176228432
PI452692,2.76076917740354
PI329702,3.07858005609534
PI329702,3.07179366724102
PI329702,2.81932015043493
PI452542,2.98501758674954
PI452542,3.0999739842355
PI452542,3.0377769795488
PI329570,3.35939527538602
PI329570,3.09809315528137
PI329570,3.12837341708639
PI585577,2.87369833764791
PI585577,2.91870119149546
PI585577,3.03854863455319
PI576399,2.94155615173171
PI576399,2.45657857281751
PI576399,2.20311451364439
PI337689,3.15691847769912
PI337689,3.16809659265253
PI337689,2.94006801373935
PI655978,2.42478366441982
PI655978,2.73541524371883
PI533792,2.45140261359749
PI533792,2.07892783368072
PI533792,1.88275215561308
PI329614,3.00029955985624
PI329614,2.99676989551706
PI329614,3.04160583195395
PI156268,3.10964940502505
PI156268,3.22893135167688
PI156268,3.0360697006977
PI329435,2.05705720863742
PI329435,2.34271868979554
PI329435,2.30050852934329
PI329301,2.98684336456195
PI329301,2.89226160691554
PI329301,2.93276792998229
PI329519,3.11682019084679
PI329519,3.15965139729646
PI329519,3.03550578309469
PI562985,2.5935850954539
PI562985,3.2070038733132
PI562985,3.01359973261247
PI563329,3.04996576105374
PI563329,3.20892483108026
PI563329,3.07426408223889
PI452544,2.83421081815748
PI452544,2.86306696744985
PI452544,3.08177922676753
PI562970,3.43709386980864
PI562970,3.0807671409267
PI562970,3.20248559249394
PI513898,2.81839746544135
PI563332,3.30103868146676
PI535793,1.99930457233835
PI329843,3.14268661210555
PI92270,1.96852964437484
PI329440,2.8530468901518
PI535792,2.20542091567634
PI562981,2.94805579758485
PI329501,2.70663245087329
PI156203,3.20161012220316
PI330169,2.99746939050016
PI569447,2.73164516340536
PI569453,2.85777259971075
PI156393,3.34492449858489
PI154844,2.98446880341024
PI52606,2.42235999360007
PI329510,2.96490987756526
PI330167,3.18081950368394
PI643016,2.90508856460529
PI152860,3.38775810849421
PI330196,2.57417021973079
PI642998,2.15219658233421
PI593916,2.34089998385871
PI156487,3.16100244203434
PI641817,2.51243089487646
PI585461,2.60575742504761
PI329673,2.861414918636
PI563196,2.77469940407692
PI329569,3.02840042913664
PI563002,2.79619259685592
PI562730,2.61750357927907
PI569427,2.56847160703324
PI569452,2.90324739021402
PI569460,2.73778879170968
PI569423,3.18599236383802
PI570109,2.92668706969368
PI35038,2.37903343181797
PI196586,2.67748832668333
PI255744,2.95548570588934
PI562991,2.70113606609253
PI570073,2.90236737157514
PI563348,2.79578967469588
PI452692,3.2516917436407
PI329665,2.89001839718811
PI653616,2.84922280036729
PI329333,3.13278462506931
PI569421,2.90869943235222
PI569443,2.1497424147134
PI329584,2.67534749848551
PI329301,3.20640216484927
PI562971,2.82357855165024
PI329570,3.19615683348616
PI505735,2.89891158113266
PI569422,2.81157500587059
PI569886,2.93548207399885
PI656015,2.31839727921751
PI562985,2.60777660374169
