PI_number,Dry_weight
PI181899,1.8319976772359
PI181899,1.83154985199576
PI181899,1.85763398515001
PI330182,1.72304499164345
PI330182,1.82807959055675
PI330182,1.82052984852352
PI576399,1.80488874462239
PI576399,1.79028516403324
PI576399,1.85709115467351
PI533792,1.72689014074182
PI533792,1.88092786526708
PI533792,1.79406958398163
PI329435,1.82575058134803
PI329435,1.74764481932825
PI329435,1.81123977275329
PI655978,1.80631566980811
PI655978,1.67163559660213
PI655978,1.73110505121592
PI526905,2.07950684482477
PI526905,2.21837793329175
PI526905,2.19131125759099
PI181899,2.27669152884504
PI181899,2.06818586174616
PI181899,2.07236020396349
PI329256,2.32510498297141
PI329256,2.54868417148301
PI329256,2.90314969837814
PI329310,2.2402496315188
PI329310,2.73048349455273
PI329310,2.60396669536885
PI329841,2.67980024894739
PI329841,2.60212513061492
PI329841,2.59630013460261
PI576399,2.31462551920127
PI576399,2.27957569612672
PI253986,2.18839407126143
PI197542,2.10670073236235
PI197542,2.13687903987552
PI157804,1.56655533088306
PI593916,2.15326593507587
PI593916,2.1217895688593
PI533902,2.44811862029215
PI533902,2.43394575553803
PI533902,2.32966224048946
PI452544,2.59361830812954
PI452544,2.47686059982623
PI452692,2.79916127981556
PI535792,2.2800317441387
PI535792,2.19047177057335
PI535792,2.19370883239536
PI527045,2.32283927268632
PI329301,2.81394774912133
PI329301,2.58335749490251
PI329301,2.50040115705547
PI181080,2.75329956434176
PI181080,2.63058041069898
PI181080,2.55370102154996
PI576401,2.28802553538836
PI576401,2.44265219834252
PI329435,2.22185743541914
PI329435,2.07066575345373
PI656065,2.37406980372608
PI656065,2.33637967218697
PI656065,2.36456975496962
PI251672,2.75628609778193
PI251672,2.56727345531705
PI251672,2.62779584102803
PI655978,2.32370575761771
PI655978,2.10849737134826
PI213900,2.29112454661222
PI213900,2.40358375036669
PI655981,2.34273841655542
PI655981,2.05698103666811
PI655981,2.07874673427361
PI226096,2.73322937441729
PI226096,2.49071677825695
PI52606,2.26432187776301
PI52606,2.14538289197487
PI562732,2.67348169707335
PI155149,2.57459837542102
PI155149,2.55515493106319
PI641807,2.55283849428803
PI569148,2.75265526729347
PI569148,2.37617532271783
PI154844,2.65460965735927
PI154844,2.71533468379231
