PI_number,Dry_weight
PI569447,2.59526468336136
PI35038,2.3879056895125
PI152727,3.13421855808221
PI569443,3.09730938025063
PI513898,3.10113161659903
PI154844,3.05802723197091
PI152694,2.80606459918824
PI569886,3.05084744408226
PI585461,2.76591431227679
PI329510,3.00414934190006
PI156203,3.46910741882204
PI156487,2.80194538256794
PI533998,2.18814069878886
PI569422,3.20962223451155
PI619838,2.98329694631833
PI641817,2.43985353476645
PI563009,2.75206382080335
PI570073,2.86746159508526
PI563332,2.83723479878442
PI452692,3.08962961782171
PI329301,3.13032733445502
PI564163,2.33839672419626
PI329617,2.54304936063953
PI52606,2.2816241514402
PI562730,2.39250349968175
PI569097,2.58716073470619
PI329501,2.46175356612546
PI330169,2.77669392147816
PI329584,3.02005866295228
PI643016,3.33093096570409
PI569460,2.58056006063942
PI570393,3.24781375039621
PI156018,3.17929033153913
PI542718,2.00164719134604
PI542718,2.29014595464781
PI521290,2.51534389308838
PI152728,2.87942850083644
PI255744,2.95289894591052
PI329440,2.95263263975737
PI329665,3.2879293131752
PI569453,2.87390159786446
PI653616,2.95184244469143
PI156393,2.89075066681952
PI167093,3.0360577100716
PI329605,2.96980716027817
PI562985,3.02673749423875
PI152860,3.37700556567004
PI593916,2.56788469078371
PI569452,2.94484772086324
PI656015,2.47623729027107
PI569421,2.6542343155714
PI329569,3.23640120826566
PI92270,2.29072448001922
PI196586,2.62864432228461
PI569423,2.81869425659751
PI563002,2.67722358254827
PI534165,2.16307188200382
PI570076,3.04777314370792
PI642998,2.51474692463438
PI570109,2.27857070161052
PI329570,3.08360652274646
PI329673,2.71254869116463
PI196049,2.93178829696338
PI329465,3.01865473725826
PI330196,3.00191535179393
PI562991,2.89682372853196
PI155149,2.74200201439794
PI329843,2.52318698495035
PI535785,2.99016119289848
PI197542,2.24375714102993
PI562994,2.77340608801514
PI329351,2.98573176514908
PI569427,3.04202786962823
PI563196,2.87293089917446
PI297155,2.3755355925095
PI562971,2.63449742256935
PI562981,2.84419749698841
PI329841,2.85887391590886
PI570031,2.90677127243352
PI330167,3.24826760353465
PI505735,3.03194141033873
PI563348,2.95385629822499
PI329333,3.16282120352619
PI505735,2.86231627303954
PI655983,3.01955659554616
PI563329,3.38363227765268
PI513898,2.81839746544135
PI563332,3.30103868146676
PI535793,1.99930457233835
PI329843,3.14268661210555
PI92270,1.96852964437484
PI329440,2.8530468901518
PI535792,2.20542091567634
PI562981,2.94805579758485
PI329501,2.70663245087329
PI156203,3.20161012220316
PI330169,2.99746939050016
PI569447,2.73164516340536
PI569453,2.85777259971075
PI156393,3.34492449858489
PI154844,2.98446880341024
PI52606,2.42235999360007
PI329510,2.96490987756526
PI330167,3.18081950368394
PI643016,2.90508856460529
PI152860,3.38775810849421
PI330196,2.57417021973079
PI642998,2.15219658233421
PI593916,2.34089998385871
PI156487,3.16100244203434
PI641817,2.51243089487646
PI585461,2.60575742504761
PI329673,2.861414918636
PI563196,2.77469940407692
PI329569,3.02840042913664
PI563002,2.79619259685592
PI562730,2.61750357927907
PI569427,2.56847160703324
PI569452,2.90324739021402
PI569460,2.73778879170968
PI569423,3.18599236383802
PI570109,2.92668706969368
PI35038,2.37903343181797
PI196586,2.67748832668333
PI255744,2.95548570588934
PI562991,2.70113606609253
PI570073,2.90236737157514
PI563348,2.79578967469588
PI452692,3.2516917436407
PI329665,2.89001839718811
PI653616,2.84922280036729
PI329333,3.13278462506931
PI569421,2.90869943235222
PI569443,2.1497424147134
PI329584,2.67534749848551
PI329301,3.20640216484927
PI562971,2.82357855165024
PI329570,3.19615683348616
PI505735,2.89891158113266
PI569422,2.81157500587059
PI569886,2.93548207399885
PI656015,2.31839727921751
PI562985,2.60777660374169
PI167093,2.86258452717019
PI569097,3.25926409122516
PI570076,2.88964899919167
PI152694,3.13843217758128
PI521290,2.95522098168584
PI570031,2.77391802943362
PI329617,2.9396190789567
PI534165,2.16563006237618
PI570393,3.1176093170321
PI655983,2.80254797028122
PI563329,3.40233361552948
PI196049,3.21345665928546
PI297155,2.44352896027506
PI156018,2.4811415279729
PI542718,1.94556705344239
PI329841,3.35500109164066
PI564163,2.23509899009494
PI329351,2.9485841066806
PI562994,2.874644140438
PI152727,2.98230742273851
PI563009,2.87860795649383
PI329605,2.92985810740622
PI197542,2.1559733447399
PI505735,3.13206107289784
PI329465,2.99177081780105
PI535785,2.93026625017235
PI152728,3.24305790169454
PI533998,2.3933996952931
