Accession,Dry_weight
PI330196,3.13370812251476
PI329617,3.11585338242696
PI593916,2.41599107623265
PI330168,3.2967770395875
PI152694,2.61278385671974
PI561840,2.48191536510837
PI329519,2.65530174494729
PI570109,2.76404903967892
PI156203,3.12163533855578
PI585577,2.69367419740241
PI152728,3.13202902944849
PI452692,3.18145483472963
PI329584,2.8920277830147
PI92270,2.34103863167752
PI329301,3.00870660344531
PI570145,2.81651968965105
PI562732,3.07202920082792
PI569148,2.91428496516617
PI329843,2.59167664214168
PI569422,2.79001760691137
PI330185,3.05827414668595
PI251672,2.65371407544125
PI619838,2.91014930225024
PI329702,2.88430246870877
PI550604,2.35353155907776
PI297155,2.39061721433679
PI156268,3.05621094995448
PI569427,2.69215043281396
PI643016,2.86561321655546
PI154844,3.01453313899531
PI569421,2.55468294414755
PI563332,2.82599701164794
PI329569,3.17359996269952
PI300119,2.54437814395781
PI521290,2.92009200584777
PI154844,3.15200993968855
PI52606,2.35324283143373
PI152963,3.01027026752569
PI196049,3.10244056651943
PI569446,2.94715423258945
PI562970,2.98784048393606
PI329665,2.74270942416779
PI656015,2.48614699680657
PI563329,3.19096726415898
PI329841,3.31690925216499
PI330181,3.4581315064855
PI181083,2.35627450090391
PI533792,2.20817252666712
PI297155,2.43261658390379
PI455217,2.96777255322046
PI540518,2.491991664182
PI329256,3.30514492300862
PI569097,2.74650186683951
PI329310,3.54691510865527
PI569443,2.95390459341346
PI329570,3.25166011709697
PI533998,2.3088630883653
PI329710,3.23641380757699
PI642998,2.42303277153894
PI156487,3.13792983452288
PI535794,2.55345822938045
PI156018,3.13637172349232
PI526905,2.11216914800166
PI569423,2.85516770136515
PI452544,3.10297195204821
PI542718,3.30637784237712
PI157804,2.70115335110106
PI562985,2.96569547136794
PI569452,2.28555730900777
PI576399,2.38410240794852
PI156393,2.785208785254
PI181899,2.16796681339562
PI563330,2.93637800424309
PI329511,3.12942240300094
PI329403,3.22928754817828
PI330168,2.7840749774787
PI642998,2.19587198945933
PI563329,3.17755381365046
PI330181,3.01022785098447
PI181899,2.39361029635529
PI329519,2.93903976652862
PI540518,2.45943772441173
PI521290,3.04122288230622
PI569427,2.8578690011444
PI329710,3.10972699827548
PI533998,2.11474438754513
PI329301,3.01553997537312
PI542718,2.52372046037532
PI329702,2.8609067095818
PI569422,2.84901380102306
PI329256,2.86576114004372
PI569148,3.07124113434416
PI561840,2.55804822908299
PI329665,3.24645918721948
PI563330,2.91495106112788
PI329841,3.18532679565705
PI156393,3.04452800135735
PI297155,2.42581127198119
PI297155,2.40250211266422
PI152963,3.33406150266039
PI570145,3.107023318634
PI329617,3.03351221387207
PI156268,3.17494610847578
PI329843,2.86683650719143
PI452692,3.26417298368394
PI329569,3.07965870742208
PI569423,3.12673192292582
PI562970,2.88135612137309
PI452544,3.01698740187608
PI329403,2.90695425110218
PI156487,3.08516209084933
PI570109,2.80066210081767
PI196049,3.28266288978828
PI330196,2.96533813181499
PI181083,2.02403389790091
PI52606,2.49322097165169
PI593916,2.32283927268632
PI619838,3.00032125906541
PI156018,3.48750461277279
PI92270,2.43833662326384
PI329310,3.32641574737713
PI569443,3.34978051246495
PI152728,3.10217634598083
PI330185,3.3264096027874
PI656015,2.36908592082151
PI154844,3.40724299819201
PI455217,3.24852988604855
PI535794,2.61548711839866
PI157804,2.56878821231535
PI300119,2.84946855324953
PI562985,3.09080102247047
PI569452,3.09358276452974
PI152694,2.47558403018481
PI585577,3.02605090127245
PI569446,2.95446924846983
PI562732,3.23945965043338
PI563332,3.24458139151871
PI329511,3.18874010808882
PI569421,1.98520185836457
PI251672,2.81809386914664
PI550604,2.55479190974205
PI569097,3.07059562290716
PI576399,2.62409637202789
PI156203,3.28062389151291
PI643016,2.68398309567902
PI329584,2.95145409227183
PI154844,3.32037895574568
PI526905,2.33747922839403
PI329570,3.59614387358463
PI329256,3.32882793901428
PI156203,2.8323108803728
PI643016,3.02503537127388
PI152963,3.01478506700324
PI569097,3.1656567545173
PI452544,2.83140901149567
PI329403,3.0543065658484
PI329570,3.29174170401877
PI533998,2.37666818581053
PI329843,3.32424540489896
PI181083,2.21600746810831
PI569443,3.48144979501878
PI152728,3.27130479348837
PI152694,2.58058287681437
PI297155,2.63495060471544
PI329310,3.29965327381537
PI570109,2.80204130473958
PI156487,3.30047374264922
PI297155,2.46921800042063
PI656015,2.50724851391879
PI330196,3.02241187345592
PI569421,3.16442424079107
PI642998,2.44505904739222
PI92270,2.52347332152875
PI300119,2.81230491836195
PI569148,3.43602104077442
PI329569,3.01092719471478
PI585577,3.23600540384301
PI156268,2.84849701809037
PI330168,3.14740113238188
PI181899,2.19559526300553
PI329301,3.30178934676872
PI330185,3.16804055636727
PI52606,2.75831375832499
PI157804,2.31312871384519
PI455217,3.14730214435894
PI576399,2.56493815265519
PI535794,2.62897100534509
PI251672,3.06942017496557
PI156018,3.21500006003828
PI569452,3.17634886403302
PI569422,3.08767496003676
PI329519,3.32784098909596
PI521290,3.28469235975165
PI533792,3.14029115590012
PI593916,2.43245616781143
PI562985,3.2334251134486
PI330181,3.45443780394837
PI569446,3.12369487481863
PI526905,2.23406149076639
PI540518,2.51108084553912
PI569427,3.14341142052494
PI542718,2.08863214184632
PI563330,3.13240699158423
PI570145,3.43456251730368
PI329511,3.12946108632737
PI550604,2.52810646114071
PI619838,3.00813582460548
PI562970,3.12839603734803
PI561840,2.50485129818053
PI329710,3.18102565885004
PI329702,3.13384855211145
PI329665,2.98697316436788
PI569423,3.3416975937069
PI156393,3.16106239102702
PI154844,3.40374662097872
PI452692,3.19774355868323
PI329584,3.04831747964434
PI329617,2.85491908783089
PI154844,3.34443550446824
PI563332,3.24681852121005
PI196049,3.30454438039702
PI562732,3.29343990307435
PI563329,2.79318250577077
PI329841,3.18924881589192
