PI_number,Height
PI181899,0.0530784434834197
PI181899,0.133538908370218
PI181899,0.152288344383056
PI330182,0.201397124320452
PI330182,0.193124598354462
PI329256,0.00432137378264258
PI329256,-0.0177287669604316
PI329256,-0.0222763947111523
PI329569,0.570542939881898
PI329569,0.380211241711606
PI329569,0.532754378992498
PI329841,0.209515014542631
PI329841,0.28330122870355
PI329841,0.238046103128795
PI535793,0.445604203273598
PI535793,0.462397997898956
PI535793,0.531478917042255
PI329519,0.143014800254095
PI329519,0.252853030979893
PI329519,0.127104798364808
PI253986,0.494154594018443
PI253986,0.445604203273598
PI253986,0.354108439147401
PI197542,0.326335860928751
PI197542,0.456366033129043
PI197542,0.439332693830263
PI455217,0.212187604403958
PI455217,0.15836249209525
PI455217,0.167317334748176
PI92270,0.622214022966295
PI92270,0.600972895686748
PI92270,0.584331224367531
PI152963,0.44870631990508
PI152963,0.495544337546448
PI152963,0.437750562820388
PI593916,0.57978359661681
PI593916,0.439332693830263
PI593916,0.580924975675619
PI533902,0.396199347095736
PI533902,0.401400540781544
PI533902,0.378397900948138
PI452544,0.568201724066995
PI452544,0.513217600067939
PI452544,0.513217600067939
PI535792,0.494154594018443
PI535792,0.612783856719736
PI535792,0.57978359661681
PI527045,0.397940008672038
PI527045,0.380211241711606
PI527045,0.531478917042255
PI563332,0.0969100130080564
PI563332,0.176091259055681
PI563332,0.12057393120585
PI181080,-0.0604807473813815
PI576401,0.45484486000851
PI576401,0.390935107103379
PI576401,0.480006942957151
PI656065,0.423245873936808
PI656065,0.555094448578319
PI656065,0.429752280002408
PI329843,0.311753861055754
PI329843,0.322219294733919
PI329843,0.28330122870355
PI655978,0.549003262025788
PI655978,0.523746466811564
PI655978,0.505149978319906
PI213900,0.397940008672038
PI213900,0.361727836017593
PI213900,0.201397124320452
PI656015,0.369215857410143
PI656015,0.3654879848909
PI656015,0.209515014542631
PI569097,0.465382851448418
PI569097,0.290034611362518
PI226096,0.491361693834273
PI226096,0.130333768495006
PI226096,0.419955748489758
PI52606,0.419955748489758
PI52606,0.397940008672038
PI52606,0.324282455297693
PI330181,0.354108439147401
PI330181,0.371067862271736
PI330181,0.394451680826216
PI641807,0.494154594018443
PI641807,0.462397997898956
PI569148,0.252853030979893
PI569148,0.255272505103306
PI52606,0.0969100130080564
PI52606,0.152288344383056
PI52606,0.2405492482826
PI297155,0.2405492482826
PI297155,0.322219294733919
PI297155,0.230448921378274
PI533902,0.0606978403536117
PI533902,0.0334237554869497
PI533902,0.133538908370218
PI329310,0.561101383649056
PI329310,0.643452676486187
PI329310,0.603144372620182
PI526905,0.0863598306747482
PI526905,0.12057393120585
PI526905,0.127104798364808
PI534165,-0.130768280269024
PI534165,-0.0861861476162833
PI534165,-0.113509274827518
PI576401,0.212187604403958
PI576401,0.152288344383056
PI576401,0.214843848047698
PI561840,0.146128035678238
PI561840,0.0899051114393979
PI561840,0.0934216851622351
PI656015,0.184691430817599
PI656015,0.255272505103306
PI656015,0.222716471147583
PI329403,0.711807229041191
PI329403,0.700703717145019
PI329403,0.655138434811382
PI157804,0.334453751150931
PI157804,0.181843587944773
PI157804,0.457881896733992
PI655981,0.392696953259666
PI655981,0.227886704613674
PI655981,0.243038048686294
PI564163,0.14921911265538
PI564163,0.170261715394957
PI564163,0.201397124320452
PI535793,0.146128035678238
PI535793,0.217483944213906
PI535793,0.193124598354462
PI542718,0.110589710299249
PI542718,0.0253058652647703
PI542718,-0.619788758288394
PI197542,0.338456493604605
PI197542,0.338456493604605
PI197542,0.320146286111054
PI329843,0.645422269349092
PI329843,0.404833716619938
PI329843,0.633468455579587
PI251672,0.348304863048161
PI251672,0.469822015978163
PI251672,0.414973347970818
PI562732,0.66838591669
PI562732,0.701567985055927
PI562732,0.707570176097936
PI196049,0.662757831681574
PI452692,0.595496221825574
PI452692,0.557507201905658
PI329702,0.704150516839799
PI329702,0.69196510276736
PI329702,0.699837725867246
PI452542,0.731588765186739
PI452542,0.599883072073688
PI452542,0.632457292184724
PI329570,0.651278013998144
PI329570,0.582063362911709
PI329570,0.611723308007342
PI585577,0.611723308007342
PI585577,0.477121254719662
PI585577,0.617000341120899
PI576399,0.235528446907549
PI576399,0.264817823009537
PI576399,0.214843848047698
PI337689,0.648360010980932
PI337689,0.324282455297693
PI337689,0.643452676486187
