Accession,Height
PI330196,0.513217600067939
PI329617,0.517195897949974
PI593916,-0.00436480540245009
PI330168,0.481442628502305
PI152694,0.428134794028789
PI561840,0.0253058652647703
PI329519,0.378397900948138
PI570109,0.41161970596323
PI156203,0.436162647040756
PI585577,0.469822015978163
PI452692,0.563481085394411
PI329584,0.530199698203082
PI92270,0.447158031342219
PI329301,0.60959440922522
PI570145,0.459392487759231
PI569148,0.551449997972875
PI329843,0.392696953259666
PI569422,0.436162647040756
PI330185,0.637489729512511
PI251672,0.439332693830263
PI619838,0.352182518111363
PI329702,0.494154594018443
PI550604,0.133538908370218
PI297155,0.361727836017593
PI156268,0.624282095835668
PI569427,0.348304863048161
PI643016,0.613841821876069
PI154844,0.592176757395867
PI569421,0.387389826338729
PI563332,0.653212513775344
PI329569,0.61066016308988
PI300119,0.498310553789601
PI521290,0.545307116465824
PI154844,0.568201724066995
PI52606,0.201397124320452
PI152963,0.472756449317212
PI196049,0.665580991017953
PI569446,0.363611979892144
PI562970,0.514547752660286
PI329665,0.545307116465824
PI656015,0.230448921378274
PI563329,0.583198773968623
PI329841,0.673020907128896
PI330181,0.685741738602264
PI181083,0.290034611362518
PI533792,-0.0268721464003014
PI297155,0.14921911265538
PI455217,0.620136054973758
PI540518,0.340444114840118
PI329256,0.60530504614111
PI569097,0.515873843711679
PI329310,0.627365856592733
PI569443,0.439332693830263
PI329570,0.540329474790874
PI533998,0.0718820073061254
PI329710,0.583198773968623
PI642998,0.506505032404872
PI156487,0.553883026643874
PI535794,0.14921911265538
PI156018,0.437750562820388
PI526905,0.0863598306747482
PI569423,0.313867220369153
PI452544,0.599883072073688
PI542718,0.40823996531185
PI157804,0.510545010206612
PI562985,0.3654879848909
PI569452,0.587710965018911
PI576399,0.290034611362518
PI156393,0.463892988985907
PI181899,0.305351369446624
PI563330,0.627365856592733
PI329511,0.669316880566112
PI329403,0.612783856719736
PI330168,0.429752280002408
PI642998,0.507855871695831
PI563329,0.525044807036845
PI330181,0.583198773968623
PI181899,0.243038048686294
PI329519,0.547774705387823
PI540518,0.230448921378274
PI521290,0.518513939877887
PI569427,0.230448921378274
PI329710,0.569373909615046
PI533998,0.0211892990699381
PI329301,0.617000341120899
PI542718,0.303196057420489
PI329702,0.614897216033135
PI569422,0.332438459915605
PI329256,0.491361693834273
PI569148,0.426511261364575
PI561840,0.110589710299249
PI329665,0.514547752660286
PI563330,0.549003262025788
PI329841,0.633468455579587
PI156393,0.41161970596323
PI297155,0.348304863048161
PI297155,0.378397900948138
PI152963,0.523746466811564
PI570145,0.460897842756548
PI329617,0.519827993775719
PI156268,0.620136054973758
PI329843,0.469822015978163
PI452692,0.555094448578319
PI329569,0.60422605308447
PI569423,0.356025857193123
PI562970,0.431363764158987
PI452544,0.591064607026499
PI329403,0.619093330626743
PI156487,0.502427119984433
PI570109,0.326335860928751
PI196049,0.683947130751512
PI330196,0.598790506763115
PI181083,0.2405492482826
PI52606,0.247973266361807
PI593916,0.0128372247051722
PI619838,0.357934847000454
