--------------	Bin 3
Sobic.001G003600	(1 of 1) PTHR22835//PTHR22835:SF282 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // GDSL-LIKE LIPASE/ACYLHYDROLASE SUPERFAMILY PROTEIN
Sobic.001G003700	(1 of 1) PTHR11206//PTHR11206:SF93 - MULTIDRUG RESISTANCE PROTEIN // MATE EFFLUX FAMILY PROTEIN
Sobic.001G004500	(1 of 10) K06966 - uncharacterized protein (K06966)
Sobic.001G004800	(1 of 5) PF03629 - Domain of unknown function (DUF303) (DUF303)
Sobic.001G004901	(1 of 4) PTHR32370:SF17 - ROOT PHOTOTROPISM PROTEIN 2
Sobic.001G003500	(1 of 1) PTHR22792//PTHR22792:SF72 - LUPUS LA PROTEIN-RELATED // SUBFAMILY NOT NAMED
Sobic.001G003900	(1 of 1) PF07386 - Protein of unknown function (DUF1499) (DUF1499)
Sobic.001G004000	(1 of 1) PTHR31371//PTHR31371:SF4 - FAMILY NOT NAMED // SIMILARITY TO UNKNOWN PROTEIN
Sobic.001G004100	(1 of 1) PTHR22847//PTHR22847:SF358 - WD40 REPEAT PROTEIN // SUBFAMILY NOT NAMED
Sobic.001G004200	(1 of 1) K16329 - pseudouridine-5'-phosphate glycosidase (psuG)
Sobic.001G004300	
Sobic.001G004400	(1 of 2) K14290 - exportin-1 (XPO1, CRM1)
Sobic.001G004550	
Sobic.001G004600	(1 of 6) PF05266//PF05641 - Protein of unknown function (DUF724) (DUF724) // Agenet domain (Agenet)
Sobic.001G004700	similar to Putative uncharacterized protein
--------------	Bin 38
Sobic.001G063600	(1 of 2) PTHR24349//PTHR24349:SF161 - SERINE/THREONINE-PROTEIN KINASE // CALCIUM-DEPENDENT PROTEIN KINASE 1-RELATED
Sobic.001G064000	(1 of 68) PF07762 - Protein of unknown function (DUF1618) (DUF1618)
Sobic.001G064400	
Sobic.001G064900	(1 of 1) PTHR19957:SF69 - SYNTAXIN-121-RELATED
Sobic.001G063500	(1 of 27) PF02469 - Fasciclin domain (Fasciclin)
Sobic.001G063700	weakly similar to Expressed protein
Sobic.001G063800	(1 of 2) PTHR11306 - NIEMANN PICK TYPE C2 PROTEIN NPC2-RELATED
Sobic.001G063900	(1 of 2) PTHR14155//PTHR14155:SF90 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED
Sobic.001G064200	
Sobic.001G064300	(1 of 68) PF07762 - Protein of unknown function (DUF1618) (DUF1618)
Sobic.001G064500	(1 of 1) PTHR24078//PTHR24078:SF196 - DNAJ HOMOLOG SUBFAMILY C MEMBER // SUBFAMILY NOT NAMED
Sobic.001G064600	(1 of 1) PTHR32295//PTHR32295:SF12 - FAMILY NOT NAMED // PROTEIN IQ-DOMAIN 15-RELATED
Sobic.001G064700	(1 of 47) PF00069//PF08263//PF13855 - Protein kinase domain (Pkinase)  // Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)
Sobic.001G064800	
--------------	Bin 51
Sobic.001G084500	(1 of 1) PTHR11926//PTHR11926:SF294 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED
Sobic.001G084600	(1 of 2) PTHR11926//PTHR11926:SF316 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED
Sobic.001G085400	(1 of 2) K02872 - large subunit ribosomal protein L13Ae (RP-L13Ae, RPL13A)
Sobic.001G085450	(1 of 2) PTHR12161//PTHR12161:SF26 - UNCHARACTERIZED DUF292 // SUBFAMILY NOT NAMED
Sobic.001G085600	(1 of 13) 3.6.3.43 - Peptide-transporting ATPase
Sobic.001G086100	
Sobic.001G086300	(1 of 1) PTHR19359//PTHR19359:SF25 - CYTOCHROME B5 // CYTOCHROME B5 ISOFORM A-RELATED
Sobic.001G084700	(1 of 2) PTHR11926//PTHR11926:SF316 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED
Sobic.001G084900	(1 of 1) PTHR13193//PTHR13193:SF0 - CGI-140 // PROTEIN ASTERIX
Sobic.001G085000	
Sobic.001G085100	(1 of 1) PTHR15876 - TRANSMEMBRANE PROTEIN ADIPOCYTE-ASSOCIATED 1
Sobic.001G085200	(1 of 1) PTHR32227:SF75 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE-LIKE PROTEIN 2-RELATED
Sobic.001G085300	(1 of 56) PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)
Sobic.001G085500	(1 of 3) PTHR12210//PTHR12210:SF40 - NUCLEAR LIM INTERACTOR-INTERACTING FACTOR-RELATED // SUBFAMILY NOT NAMED
Sobic.001G085700	(1 of 1) PTHR24361:SF268 - SERINE/THREONINE-PROTEIN KINASE 3
Sobic.001G085800	(1 of 1) K14406 - cleavage stimulation factor subunit 1 (CSTF1)
Sobic.001G085900	(1 of 1) PTHR24089:SF391 - MITOCHONDRIAL SUBSTRATE CARRIER FAMILY PROTEIN
Sobic.001G086000	(1 of 1) PTHR31673:SF3 - COBRA-LIKE EXTRACELLULAR GLYCOSYL-PHOSPHATIDYL INOSITOL-ANCHORED FAMILY PROTEIN-RELATED
Sobic.001G086050	
Sobic.001G086200	(1 of 10) PF04833 - COBRA-like protein (COBRA)
Sobic.001G086400	(1 of 1) PTHR11945//PTHR11945:SF162 - MADS BOX PROTEIN // SUBFAMILY NOT NAMED
--------------	Bin 58
Sobic.001G098600	similar to Putative uncharacterized protein 110K5.12
Sobic.001G098700	(1 of 1) PTHR31969//PTHR31969:SF9 - FAMILY NOT NAMED // GEM-LIKE PROTEIN 2
Sobic.001G098800	(1 of 3) PTHR11910 - ATP SYNTHASE DELTA CHAIN
Sobic.001G098900	(1 of 2) PTHR19957:SF91 - SYNTAXIN-RELATED PROTEIN KNOLLE
Sobic.001G099200	(1 of 437) PF13041 - PPR repeat family (PPR_2)
Sobic.001G098200	(1 of 1) K17619 - magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-] (MDP1)
Sobic.001G098301	(1 of 1) KOG1424 - Predicted GTP-binding protein MMR1
Sobic.001G098400	(1 of 1) K16278 - E3 ubiquitin-protein ligase HOS1 [EC:6.3.2.19] (HOS1)
Sobic.001G098500	(1 of 9) PTHR11911 - INOSINE-5-MONOPHOSPHATE DEHYDROGENASE RELATED
Sobic.001G099000	(1 of 1) 2.1.1.171 - 16S rRNA (guanine(966)-N(2))-methyltransferase / M(2)G966 methyltransferase
